passangers,freight,mail,airline_id,year,month,class,ramp_to_ramp,air_time,origin_airport_id,destination_airport_id,aircraft_type,carrier,flight_id
6450,9437,18913,19977,2017,6,F,10449,9090,11292,11618,694,UA,1560
5287,169,0,19977,2017,6,F,5499,4606,11292,13485,698,UA,1561
6895,4324,42659,19977,2017,6,F,9824,8590,11292,14100,634,UA,1562
7486,6677,89632,19977,2017,6,F,11607,10185,11618,11292,622,UA,1563
6692,6438,21421,19977,2017,6,F,10626,9479,13204,11292,694,UA,1564
7485,27946,0,19393,2017,6,F,6679,5473,11292,12892,614,WN,1565
7583,40569,0,19393,2017,6,F,5994,5135,12892,11292,614,WN,1566
3090,0,0,20452,2017,6,F,6835,5581,11292,12339,677,YX,1567
385,0,0,20358,2017,6,F,3813,3048,11292,11711,405,ZK,1568
7288,7102,417,19790,2017,6,F,10832,9503,11292,12478,614,DL,1569
7061,3605,6016,19790,2017,6,F,8314,7205,11433,11292,656,DL,1570
7342,16456,19662,19790,2017,6,F,13164,10873,12478,11292,614,DL,1571
2134,0,0,20304,2017,6,F,4841,3611,11292,15370,629,OO,1572
7395,482,11828,19977,2017,6,F,8905,7950,11042,11292,614,UA,1573
7386,10665,44602,19977,2017,6,F,10709,9213,11292,11618,622,UA,1574
6423,3298,0,19393,2017,6,F,9288,8556,14122,11292,612,WN,1575
7029,2608,58,19790,2017,6,F,7921,6802,11292,11433,656,DL,1576
6666,729,0,19790,2017,6,F,10779,9185,11292,12953,694,DL,1577
3165,0,0,20500,2017,6,F,6122,4926,11292,10423,631,G7,1578
2769,0,0,20500,2017,6,F,4206,3124,11292,12441,631,G7,1579
2522,0,0,20500,2017,6,F,4283,2945,12441,11292,631,G7,1580
1877,0,0,20304,2017,6,F,7125,5865,10561,11292,629,OO,1581
2083,0,0,20304,2017,6,F,6114,4972,11292,13486,629,OO,1582
2747,0,0,20304,2017,6,F,7919,6580,11292,14489,673,OO,1583
7447,1648,6423,19977,2017,6,F,11230,10051,13204,11292,614,UA,1584
7755,4512,10884,19977,2017,6,F,7262,6059,14057,11292,634,UA,1585
6315,21866,0,19393,2017,6,F,11826,10533,11618,11292,612,WN,1586
2193,0,0,20366,2017,6,F,7055,5675,12266,11109,675,EV,1587
2024,0,0,20354,2017,6,F,3624,2797,11292,14120,675,AJQ,1588
2016,0,0,20304,2017,6,F,3300,2154,11292,11413,629,OO,1589
